A,E,A,E,E,E
A,A,A,A,E,E
A,A,A,A,E,E
A,A,A,A,A,A
A,A,A,A,E,E
A,A,A,A,A,A
A,A,A,A,E,E
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,A,A,A,A
A,A,U,A,U,U
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
A,A,U,U,U,U
A,A,U,A,U,U
A,A,A,A,A,A
