A	99.12	62.74	70.23	61.58	61.58
B	97.68	81.45	97.05	83.25	83.25
Ã	96.55	96.78	97.80	96.51	96.51
Ó	97.17	46.49	82.04	44.90	44.90
Ë	87.89	88.51	89.67	91.10	91.01
Ï	66.02	47.13	74.68	56.67	56.67
Î	94.09	95.74	95.25	95.54	95.45
Å	91.59	86.24	86.79	84.36	84.36
Ñ	81.83	67.83	81.24	67.15	67.15
Ø	91.57	95.48	96.08	90.26	90.26
Û	92.79	86.70	90.96	85.28	85.28
Ê	91.37	78.44	91.98	81.34	81.34
ß	84.44	87.42	83.32	84.90	84.90
Ð	91.65	88.10	93.22	74.11	74.11
È	95.40	41.37	62.51	28.60	28.60
Í	92.87	92.37	94.12	80.85	80.85
Ö	73.64	81.92	76.12	81.83	81.83
Æ	68.22	72.06	63.18	69.53	69.53
Ç	93.44	96.61	93.21	95.93	95.93
Õ	77.50	73.25	81.07	74.62	74.62
Ò	90.81	66.50	92.89	78.36	78.36
Ì	81.62	76.71	71.58	76.83	76.83
Þ	88.65	81.77	82.83	76.72	76.72
Ý	76.46	81.45	83.50	76.17	76.17
×	85.80	76.27	83.81	73.88	73.88
Ô	86.99	37.95	42.64	38.59	38.59
